subject,type,course,category,year,university,student_1,professor_1,professor_2,professor_3,moshaver_1,moshaver_2,moshaver_3
شناسایی الگوی بیان ژن در فرآیند توسعه‌ی لنفوسیت‌های تی خاطره,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,دانشگاه صنعتی شریف، دانشکده مهندسی برق,نغمه‌سادات ناظر کاخکی,هدی محمدزاده,بابک حسین خلج,N/A,محسن بصیری,N/A,N/A
ردیابی ویروئید اگزوکورتیس در باغات مرکبات استان گلستان,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,دانشگاه علوم کشاورزی و منابع طبیعی گرگان، دانشکده تولید گیاهی,طیبه کریمی,سعید نصرالله‌نژاد,N/A,N/A,فروه‌سادات مصطفوی نیشابوری,اکرم آقاملایی,N/A
طراحی و سنتز مشتقات پپتیدی ضد میکروبی از خانواده ماکسیمین و ارزیابی پایداری عملکردی آن ها در شرایط in vitro,پارسای داخل کشور,دکتری حرفه‌ای (عمومی),N/A,1398,دانشگاه آزاد اسلامی واحد دامغان، دانشکده داروسازی,نسرین پورمقدم,علی محمدی,N/A,N/A,حمید معدنچی,N/A,N/A
کلونینگ و بیان ScFv ویژه CD20 انسانی کونژوگه به سم PE38 و تعیین خصوصیات آن,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه شهید بهشتی، دانشکده مدیریت و حسابداری,ریحانه مجتهدی,علی بنایی,N/A,N/A,عباس اشرفی,N/A,N/A
طراحی یک جمع‌کننده/تفریق‌کننده برگشت‌پذیر با توان مصرفی پایین با استفاده از تکنولوژی CMOS 180hm,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,دانشگاه آزاد اسلامی ‌واحد اردبیل، دانشکده فنی و مهندسی,یوسف رحیمی,علی راهنمایی,N/A,N/A,N/A,N/A,N/A
آنالیز نیم‌رخ بیان ژن ماهیچه اسکلتی به ‌منظور شناسایی ژن‌های مؤثر در فرآیند رشد در گاو گوشتی,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,دانشگاه یاسوج، دانشکده کشاورزی,فریبا آنه شبه ناصری,محمدرضا بحرینی بهزادی,زهرا رودباری,N/A,مصطفی محقق دولت‌آبادی,مصطفی قادری زفره‌ای,N/A
طراحی و ساخت ایمونوتوکسین اختصاصی علیه گیرنده ای پی اچ ای 2 و ارزیابی اثرات آن روی سلول های سرطانی,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1398,دانشگاه رازی، دانشکده علوم پایه,احسان رضایی,علی بیدمشکی‌پور,جعفر امانی,N/A,حمیده محمودزاده حسینی,N/A,N/A
بررسی کلینیکی ومقایسه پروفایل پروتئینی اسپرم‌های جداسازی شده توسط روش‌هایDGC‌ و ‌DGC/Zeta‌ در ناباروران داوطلبICSI,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1398,دانشگاه خوارزمی، دانشکده عمران و محیط زیست,نازنین کریمی,هما محسنی کوچصفهانی,محمدحسین نصراصفهانی,N/A,عبدالحسین شاهوردی,قاسم حسینی سالکده,N/A
انتخاب بازنمایی متناسب با نگاشت ژنوم جهت رده‌بندی توالی ژنوم با رویکرد شبکه عصبی عمیق,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1398,دانشگاه قم، دانشکده فنی و مهندسی,رضا احسن,منصور ابراهیمی,N/A,N/A,روح‌الله دیانت,N/A,N/A
تخمین سن انسان بر اساس تحلیل داده های ژنومی با استفاده از رویکرد تکاملی,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,دانشگاه تربیت مدرس، دانشکده مهندسی برق و کامپیوتر,زهرا مومنی,محمد صنیعی آباده,N/A,N/A,نصراله مقدم چرکری,N/A,N/A
مقایسه روش‌های مبتنی بر درخت تصمیم در ارزیابی ژنومی,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه بوعلی سینا، دانشکده کشاورزی,سحر عاشوری بنایی,فرهاد غفوری کسبی,N/A,N/A,احمد احمدی,N/A,N/A
بررسی اثر طراحی آزمایش در مطالعات سم شناسی متابولومیکسی بر پایه 1HNMR و مقایسه پارامترهای آماری,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه محقق اردبیلی، دانشکده علوم,پروین ایمانی دامداباجا,مریم خوشکام,N/A,N/A,ماندانا امیری,N/A,N/A
زمانبندی بی‌درنگ جریان کار در محیط ابری با رویکرد یادگیری تقویتی عمیق,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه تربیت مدرس، دانشکده مهندسی برق و کامپیوتر,زهرا قربانی چمازکتی,سعید جلیلی,N/A,N/A,فوآد قادری,N/A,N/A
ناک اوت ژن کالومنین در رده ی سلولی سرطان کولورکتال با استفاده از سیستم CRISPR/Cas9,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,پژوهشگاه ملی مهندسی ژنتیک و زیست فناوری، پژوهشکده زیست‌فناوری پزشکی,رضا سلمانی پور,علیرضا زمردی‌پور,مهدی شمس‌آرا,N/A,N/A,N/A,N/A
مطالعه دینامیک مولکولی ریبوسوئیچ اتصالی به تئوفیلین و طراحی سازه مناسب، به منظور بیان القاپذیر ژن‌ هدف در کلروپلاست ریزجلبک کلامیدوموناس,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,دانشگاه تربیت مدرس، دانشکده کشاورزی,رحیم برهمند,معصومه عمادپور,مختار جلالی‌‌‌‌ جواران,N/A,حمزه رحیمی,N/A,N/A
بررسی اثر انتقال سازه های ژن Delta 15 desaturase (FAD3) بر میزان تولید امگا 3 در مخمر (Saccharomyces cerevisiae),پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1398,دانشگاه رازی، دانشکده علوم و مهندسی کشاورزی,محمدفاضل سلطانی گیشینی,علیرضا زبرجدی,مریم عبدلی نسب,N/A,مختار جلالی جواران,دانیال کهریزی,N/A
روشی برای تعیین همسایگی در الگوریتم DBSCAN به منظور بهبود زمان اجرای الگوریتم,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,موسسه آموزش عالی بعثت - کرمان، گروه برق و کامپیوتر,امیر سالارزاده,محمد علائی,N/A,N/A,N/A,N/A,N/A
جهش‌زایی هدفمند T312R و F260R جایگاه فعال آنزیم فیتاز یرسینیا اینترمدیا و بررسی ویژگی‌های سینتیکی آنزیم,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,دانشگاه شهرکرد، دانشکده علوم پایه,منصوره قربانی,روح‌الله همتی,بهناز صفار,N/A,مجتبی مرتضوی,N/A,N/A
طراحی و بررسی اثرات ایمن زایی و محافظتی پپتید واکسن وDNA واکسن حاصل از اپی _توپ های آنتی ژنBoris بر سرطان پستان در موش Balb/c,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه آزاد اسلامی ‌واحد اردبیل، دانشکده علوم انسانی,مهین هوشمند,محمود یحیی‌زاده‌فر,N/A,N/A,N/A,N/A,N/A
"بررسی بیوسیستماتیکی سرده های Lagochils Bunge ex Benth, Leonurus L., و Lamium L. (Lamiaceae) در ایران",پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1398,دانشگاه شهید بهشتی، دانشکده علوم و فناوری زیستی,فاطمه عظیمی شاد,مسعود شیدایی,N/A,N/A,سیدمهدی طالبی,زهرا نورمحمدی,N/A
جداسازی و شناسایی ژن PAP از گیاه Phytolacca americana در ایران,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,دانشگاه تبریز، دانشکده کشاورزی,اعظم محبی ملکی,نعمت سخندان بشیر,N/A,N/A,ابراهیم دورانی,عادل دباغ محمدی‌نسب,N/A
بررسی ترکیب گونه‌ای پشه خاکی ‌و آلودگی‌ آن‌ها ‌‌به لیشمانیا با روش ‌PCR_ RFLP در منطقه مهران استان ایلام,پارسای داخل کشور,کارشناسی ارشد,N/A,1398,دانشگاه تربیت مدرس، دانشکده علوم پزشکی,طاهره گردانی,عبدالحسین دلیمی اصل,N/A,N/A,ناصح ملکی راواسان,N/A,N/A
ایمنی زایی علیه اسینتوباکتر بومانی با BauA و گیرنده سیدروفور کلاستر 1,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1398,دانشگاه شاهد، دانشکده علوم پایه,زهرا آقاجانی,ایرج رسولی,سیدلطیف موسوی گرگری,N/A,N/A,N/A,N/A
ارزیابی تأثیر جایگزینی اسیدآمینه A10W بر خصوصیات ضد باکتریایی آیورین 2/1,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه دامغان، دانشکده زیست‌شناسی,احسان مصباح فر,پریسا فرخ,فاطمه سلیمی,N/A,-- --,N/A,N/A
بهبود پیشبینی جایگاه سلولی آر ان ای پیام رسان با استفاده از شبکه‌های عصبی عمیق,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه شهید بهشتی، دانشکده علوم ریاضی,نگین سادات باباییها,چنگیز اصلاحچی,N/A,N/A,رزا اقدم,N/A,N/A
بررسی روش های تحلیل داده های ترنسکریپتوم در پشه های آنوفل,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه تربیت مدرس، دانشکده علوم پایه,محبوبه غلامی,مهدی میرزائی,مریم کمالی,N/A,N/A,N/A,N/A
پیش بینی ساختار پروتئین با استفاده از الگوریتم بهینه سازی مبتنی بر اکوسیستم مصنوعی ) AEO,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه علم و هنر یزد، دانشکده علوم مهندسی,محمدحسن پیرنیا,فاطمه سعادت‌جو,N/A,N/A,نرگس نیکونهاد لطف‌آبادی,N/A,N/A
شناسایی ژن های درگیر در معماری ریشه برنج از طریق بررسی مقایسه ای بیان ژن مناطق تکوینی دو ژنوتیپ آستانه ای Azucena و IR64 در پاسخ به تنش خشکی,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1398,دانشگاه خوارزمی، دانشکده علوم زیستی,سمیه عبدی راد,احمد مجد,قاسم حسینی سالکده,N/A,سعید آیریان,نغمه حدیدی,N/A
تاثیر تمرین هوازی و مقاومتی طی یک دوره رژیم غذایی کتوژنیک بر میزان سرمی اسپکسین،لپتین،گرلین آسیل دار، اشتها و ترکیب بدنی پسران دارای اضافه وزن و چاق .,پیشنهاده,دکتری تخصصی (PhD),N/A,1398,دانشگاه ارومیه، پردیس دانشگاهی,امین ولی‌نژاد,کاظم خدایی,N/A,N/A,N/A,N/A,N/A
الگوریتم جویباری با فضای کارآمد برای تخمین انتقال و شمارش مثلث‌ها,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه یزد، پردیس علوم - دانشکده علوم ریاضی,یدالله روستا,محمد فرشی,N/A,N/A,مهدیه هاشمی‌نژاد,N/A,N/A
بهبود زمانبندی وظایف در رایانش مه(fog) به منظور استفاده اینترنت اشیا در شهر هوشمند,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه خاتم، دانشکده علوم انسانی,N/A,N/A,N/A,N/A,N/A,N/A,N/A
بررسی برهمکنش نارکوتیک‌‌ها با فازهای ساکن قطبی درکروماتوگرافی مایع برهمکنش آبدوست به همراه استفاده از روش شبکه مولکولی در مطالعه گونه‌‌های گلوسیوم و خالص‌سازی واکسن تب‌برفکی در مقیاس تجزیه‌‌ای با استفاده از تکنیک‌‌های کروماتوگرافی مایع سریع پروتئین دوبعدی,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1398,دانشگاه شهید بهشتی، پژوهشکده گیاهان و مواد اولیه دارویی,محسن باقری,علیرضا قاسم‌پور,N/A,N/A,صمد نژادابراهیمی سردرود,N/A,N/A
مروری بر الگوریتم های وزن دهی به متغیرها در خوشه بندی k میانگین,پیشنهاده,کارشناسی ارشد,N/A,1398,دانشگاه شهید بهشتی، دانشکده علوم ریاضی,سحر همتی باغبانانی,محمدرضا فقیهی‌حبیب‌آبادی,N/A,N/A,N/A,N/A,N/A
مطالعه بیوانفورماتیک RNA-seq گونه کمپلکس Mus musculus در ایران,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه شهید بهشتی، دانشکده علوم و فناوری زیستی,صالح درخشانی,حسن رجبی مهام,N/A,N/A,لیلا کیانمهر,N/A,N/A
طراحی و مطالعه ساختار بیوانفورماتیک ژن نوترکیب گلیکوپروتئین (G) ویروس هاری و کلونیگ آن در وکتور بیانی,پیشنهاده,کارشناسی ارشد,N/A,1399,دانشگاه شهید بهشتی، پردیس دانشگاهی,سامان پذیرا,سیدمسعود حسینی,مریم فاضلی,N/A,روزبه بشر,N/A,N/A
توزیع گسسته تولید شده بوسیله تابع چگالی پایدار کوشی و کاربردهای آن در بیوانفورماتیک,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه صنعتی قوچان,محمدجواد دلاور,داود فربد,N/A,N/A,بهرام فرهادی‌نیا,N/A,N/A
اکولوژی اطلاعات در حوزه بیوانفورماتیک با تأکید بر روابط موضوعی,پارسای داخل کشور,دکتری تخصصی (PhD),علوم اطلاعات ، کتابداری و دانش شناسی,1399,دانشگاه اصفهان، دانشکده علوم تربیتی و روانشناسی,معصومه کیانی,عاصفه عاصمی,مظفر چشمه سهرابی,N/A,احمد شعبانی,N/A,N/A
بعضی خواص آماری توزیع گسسته تولید شده به‌وسیله تابع چگالی لوی و کاربردهای آن در بیوانفورماتیک,پیشنهاده,کارشناسی ارشد,N/A,1399,دانشگاه صنعتی قوچان، دانشکده فنی و مهندسی,سمیه نریمانی,داود فربد,N/A,N/A,بهرام فرهادی‌نیا,N/A,N/A
پیش بینی نقش miRNAها و lncRNAهای کلیدی منتخب در سرطان پستان از طریق آنالیز بیوانفورماتیک,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه علم و فرهنگ تهران، دانشکده علوم پایه و فناوری‌های نوین زیستی,محمدمهدی بردبار,محمود تولایی,امیر امیری یکتا,N/A,N/A,N/A,N/A
ارائه مدل پیش‌بینی همکاری علمی در حوزه بیوانفورماتیک با استفاده از نظریه گراف,پارسای داخل کشور,دکتری حرفه‌ای (عمومی),N/A,1399,دانشگاه اصفهان، دانشکده علوم تربیتی و روانشناسی,فضه ابراهیمی,عاصفه عاصمی,احمد شعبانی,N/A,امین نظارات,N/A,N/A
بررسی برهمکنش و ترسیم آنتولوژی ژنی پروتئین های درگیر در تنش های غیرزیستی با رهیافت بیوانفورماتیک در سویا,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه تبریز، دانشکده کشاورزی,خشایار حبیبی,محمود تورچی,N/A,N/A,مصطفی ولی‌زاده,N/A,N/A
پیش‌بینی برهم‌کنش‌های پروتئین-پروتئین با استفاده از اطلاعات توالی و اتوماتای سلولی,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه تحصیلات تکمیلی علوم پایه زنجان، دانشکده علوم رایانه و فن‌آوری اطلاعات,آسیه حاج تقی,مهدی وثیقی,N/A,N/A,N/A,N/A,N/A
جداسازی ‌و ‌بررسی بیوانفورماتیکی ژن VDAC1 در Rosa chinensis,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه علوم کشاورزی و منابع طبیعی گرگان، دانشکده تولید گیاهی,گل محمد اشرفی‌کلته,مصطفی خوشحال سرمست,N/A,N/A,جینی لیو,N/A,N/A
همترازی توالی های بلند ژنومی با رویکرد یافتن بلندترین زیرتوالی مشترک,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه فردوسی مشهد، دانشکده مهندسی,سمیرا بابائی,محمود نقیب‌زاده,N/A,N/A,بهشید بهکمال,N/A,N/A
بررسی تغییرات ژن CDKN2A در بیماران مبتلا به لوکمیای لنفوبلاستیک حاد,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه یزد، پردیس علوم - گروه زیست‌شناسی,فرزانه قاسمی,مهری خاتمی,N/A,N/A,محمدمهدی حیدری,ریحانه چمنی,N/A
ارزیابی مولکولی ژن های موثر در تکوین گل و مسیر بیوسنتز آنتوسیانین در فنوتیپ گلبرگ pinwheel شیمر پریکلینال گیاه بنفشه آفریقایی,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1399,دانشگاه تبریز، دانشکده علوم طبیعی,مینا کاظمیان روحی,الهام محجل کاظمی,N/A,N/A,ولی‌اله قاسمی عمران,مریم کلاهی,N/A
تعیین و ارزیابی ساختار سه بعدی و توپولوژی پروتئین CarO به عنوان ایمونوژن ترین کاندید واکسن بر علیه اسینتو باکتر بومانی,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه علم و هنر یزد، دانشکده علوم مهندسی,فاطمه پورکوثری,آمنه جاوید,N/A,N/A,فاطمه سفید,N/A,N/A
ارائه‌ی الگوریتمی سریع با مصرف حافظه پایین جهت شناسایی میکروستلایت‌ها,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌کاربردهای میان رشته ای,1399,دانشگاه فردوسی مشهد، دانشکده مهندسی,حسین ساوری,عبدالرضا سوادی,N/A,N/A,محمود نقیب‌زاده,N/A,N/A
تشخیص ناحیه پروموتر توالی DNA با استفاده از یادگیری ماشین,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,موسسه آموزش عالی تعالی، گروه مهندسی فناوری,نسرین چهره گشا,رضا احسن,N/A,N/A,مسعود رفیقی,N/A,N/A
"ارزیابی پلی توپهای برگرفته از آنتی ژن های LACK, LeIF, GP63, SMT لیشمانیا ماژور سویه MRHO/IR/75/ER بیان شده در لیشمانیا تارنتوله در تحریک سیستم ایمنی سلولی علیه لیشمانیا ماژور در مدل موشی BALB/C",پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1399,دانشگاه تربیت مدرس، دانشکده علوم پزشکی,نیلوفر باورصاد احمدپور,عبدالحسین دلیمی اصل,N/A,N/A,جاوید صدرایی,مجید پیرستانی,N/A
بررسی تغییرات نوکلئوتیدی ژن LMO1 در بیماران مبتلا به تومورهای مغزی,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه یزد، پردیس علوم - گروه زیست‌شناسی,حدیث محمدی فرتخونی,محمدمهدی حیدری,N/A,N/A,مهری خاتمی,N/A,N/A
بیان و بررسی اثرات ضد میکروبی پروتئین نوترکیب CBD-alfAFP در ریشه های موئین توتون,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه لرستان، دانشکده کشاورزی,زهرا زرین دست,فرهاد نظریان فیروزآبادی,N/A,N/A,زیبا نظری,N/A,N/A
شناسایی in silicoی lncRNAهای با امتیاز بالای درگیر در سرطان کولورکتال و بررسی پروفایل بیانی آنها در بافتهای توموری و حاشیه ای بیماران,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1399,دانشگاه تبریز، دانشکده علوم طبیعی,طیبه قاسمی,محمد خلج کندری,محمدعلی حسینپور فیضی,N/A,پرویز اسدی,N/A,N/A
بررسی بیوانفورماتیکی عوامل رونویسی WRKY ذرت و شناسایی ژن‌های تنظیم شونده با آنها در شرایط تنش شوری و کم‌آبی,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه تبریز، پردیس بین‌المللی ارس,سحر شاهگلی,مجید نوروزی,N/A,N/A,بهرام باغبان,N/A,N/A
انتخاب microRNAهای میزبانی موثر بر بیان ژن های ویروسی SARS-COV2 با روش های بیوانفورماتیک و تایید اثر آن با روش لوسیفراز,پیشنهاده,کارشناسی ارشد,N/A,1399,دانشگاه تهران، پردیس علوم - دانشکده زیست شناسی,محمد مرادی,احسان عارفیان,N/A,N/A,N/A,N/A,N/A
بررسی نقش و بررسی بیوانفورماتیک ژن های هدف مرتبط miR-429در تهاجم و متاستازبه غدد لنفاوی در,پیشنهاده,دکتری تخصصی (PhD),N/A,1399,دانشگاه فردوسی مشهد، دانشکده دامپزشکی,سارا سلاجقه,غلامرضا هاشمی‌تبار,N/A,N/A,ارشد حسینی,N/A,N/A
بررسی و مطالعه ترانسکریپتوم سلول‌های پروژنیتور قلبی مشتق شده از فیبروبلاست‌های موشی,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه شهید بهشتی، دانشکده علوم و فناوری زیستی,محبوبه نجارمنصور,محمود تلخابی,سارا طالع احمد,N/A,علی سالاری,N/A,N/A
بررسی مولکولی و بیوانفورماتیکی چندشکلی ژن های cyp18a1 و phantom در ارتباط با صفت رفتار بهداشتی در زنبور عسل,پیشنهاده,کارشناسی ارشد,N/A,1399,دانشگاه علوم کشاورزی و منابع طبیعی ساری، دانشکده علوم دامی و شیلات,مرتضی اکبرتبارامیری,بهرام شهره,ایوب فرهادی,N/A,حمید دلدار,N/A,N/A
پیشبینی کاندیداهای دارویی بالقوه علیه سندرم تنفسی حاد شدید کرونا‌ویروس2‌ از طریق آنالیز رابطه کمی ساختار-فعالیت و مطالعات داکینگ,پیشنهاده,کارشناسی ارشد,N/A,1399,دانشگاه صنعتی شاهرود، دانشکده تربیت بدنی و علوم ورزشی,N/A,N/A,N/A,N/A,N/A,N/A,N/A
نمایه سازی یک پایگاه اطلاعات تنوع زیستی و بررسی کاربرد الگوریتم های داده کاوی در منطقه دریاچه بزنگان,پیشنهاده,کارشناسی ارشد,N/A,1399,دانشگاه ارومیه، دانشکده کشاورزی,حوری برزگر,رامین مناف‌فر,احمد ایمانی,N/A,N/A,N/A,N/A
آنالیز مقایسه‌ای پروتئومیکس باسیلوس‌های تولیدکننده آنزیم فیتاز,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه آزاد اسلامی واحد فلاورجان، گروه میکروبیولوژی,شیما صادق‌زاده ریزی,زرین‌دخت امامی کرونی,N/A,N/A,علی اصغر رستگاری,N/A,N/A
آنالیز جامع داده‌های توان‌بالای سلول‌های سرطان سینه و بررسی نقش اسیدیته در تکامل سلول‌های سرطانی,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه تبریز، دانشکده علوم طبیعی,ایلیا رفیعی,بهزاد نیکزاد,N/A,N/A,مهدی صادقی,N/A,N/A
ارائه روش دسته‌بندی مبتنی بر وزن‌دهی ویژگی‌ها جهت تشخیص LncRNA,پارسای داخل کشور,کارشناسی ارشد,فناوری اطلاعات,1399,دانشگاه بیرجند، دانشکده مهندسی برق و کامپیوتر,آرزو توکلی‌فر,هما ملایی,محمد قاسمی‌گل,N/A,N/A,N/A,N/A
طراحی و ساخت پلاسمیدهای کدکننده اپی‌توپ‌های SAG1، SAG3 و SAG5 توکسوپلاسما گوندی و ارزیابی اثر ایمنی‌زایی و حفاظتی آن‌ها همراه با ادجوانت CpG مقابل توکسوپلاسموزیس حاد در موش BALB/c,پارسای داخل کشور,دکتری تخصصی (PhD),انگل شناسی و حشره شناسی پزشکی,1399,دانشگاه تربیت مدرس، دانشکده علوم پزشکی,معصومه خدادادی,فاطمه غفاری‌فر,N/A,N/A,احسان احمدپور,عبدالحسین دلیمی اصل,N/A
شناسایی lncRNA های مشترک و اختصاصی در چند سرطان شایع جهان بر اساس داده های TCGA,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه پیام نور استان اصفهان، مرکز پیام نور اصفهان,هانیه شیرعلیان اصفهانی,صفیه صوفیان,حبیب‌الله ناظم,N/A,کامران قائدی,N/A,N/A
"طراحی واکسن کایمیر از مناطق ایمونوژنیک پروتئین‌های L1 ,L2 بر علیه ویروس پاپیلومای انسانی",پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه علم و هنر یزد، دانشکده علوم مهندسی,مژده اکبرزاده جنت آباد,نرگس نیکونهاد,N/A,N/A,فاطمه سفید,N/A,N/A
بررسی ساختاری و عملکردی پروتئین شوک حرارتی 22 و 25 با روشهای بیوانفورماتیک,پیشنهاده,کارشناسی ارشد,N/A,1399,دانشگاه تبریز، دانشکده دامپزشکی,محمد سلیمان اختیاری,مهدی بساکی,N/A,N/A,N/A,N/A,N/A
بررسی بیان ژن‌های پیشگویی شده از طریق ابزارهای بیوانفورماتیکی مرتبط با تنش خشکی در گیاه جو (Hordeum vulgare),پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه شهید باهنر کرمان، دانشکده کشاورزی,ساره خسروی,علی کاظمی پور,N/A,N/A,مهدی مهیجی,حسین فرحبخش,N/A
بررسی بیوانفورماتیکی، مولکولی و مورفو-فیزیولوژیکی تأثیر همزیستی قارچ مایکوریزا در پایه هیبرید (هلو-بادام) GF677 تحت تنش شوری,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1399,دانشگاه شهرکرد، دانشکده کشاورزی,روح‌اله شاه‌ولی کوه‌شور,بهروز شیران,N/A,N/A,رودابه راوش,حسین فلاحی,N/A
بررسی بیوانفورماتیکی پروفایل بیانی ژن ها در بیماریMultiple sclerosis در جهت تعیین اهداف مناسب برای طراحی دارو,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,موسسه آموزش عالی نور دانش، گروه زیست‌شناسی,الهه صالحی مبارکه,محمد رضا زمانی,N/A,N/A,فاطمه حیدریان,N/A,N/A
ارزیابی بیان نسبی RNAهای غیر کد کننده بلند در خون محیطی بیماران آلزایمری,پیشنهاده,دکتری تخصصی (PhD),N/A,1399,دانشگاه اصفهان، دانشکده علوم و فناوری‌های نوین,عاطفه یداللهی خالص,کامران قائدی,فریبا اسماعیلی,N/A,مریم نوربخش‌نیا,N/A,N/A
بررسی اثر ضدمیکروبی چندین پپتید نِف اچ آی وی 1 بر روی باکتری سودوموناس آئروژینوزا به صورت بیوانفورماتیکی و آزمایشگاهی,پیشنهاده,کارشناسی ارشد,N/A,1399,دانشگاه اصفهان، دانشکده علوم و فناوری‌های نوین,ایمان کوسه لر,حسن محبت کار,ماندانا بهبهانی,N/A,N/A,N/A,N/A
ارزیابی عملکرد و ارتباط بیانی ژن CLEC19A و microRNA‌های کاندید در دودمان‌های سلولی گلیومایی ومدل حیوانی,پیشنهاده,دکتری تخصصی (PhD),N/A,1399,دانشگاه تربیت مدرس، دانشکده علوم زیستی,فاطمه مهاجرانی,مجید صادقی زاده,N/A,N/A,بهرام محمدسلطانی ورنوسفادرانی,سجاد شفیعی,N/A
بررسی تجربی اثر نانوسامانه گرافن اکسید- پلی گلیسرول- کورکومین بر القا آپوپتوز در رده سلولی SH-SY5Y و مقایسه بیوانفورماتیکی اثرات زیستی کورکومین و مشتقات آن,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه اصفهان، دانشکده علوم و فناوری‌های نوین,فاطمه پاک‌نیا,حسن محبت کار,علی ضرابی,N/A,N/A,N/A,N/A
طراحی و آنالیز بیوانفورماتیکی پروتیین چند اپیتوپی علیه سرطان پستان به عنوان واکسن,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,موسسه آموزش عالی نور دانش، گروه زیست‌شناسی,صبا هادیان,فاطمه حیدریان,محمدرضا زمانی,N/A,N/A,N/A,N/A
طبقه ‌بندی دی ‌ان ‌ای با استفاده از پردازش نوری مبتنی‌بر روش‌های بدون هم‌ترازی,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه صنعتی شریف، دانشکده مهندسی کامپیوتر,رضا کلهر,سمیه کوهی,N/A,N/A,N/A,N/A,N/A
تشخیص میزبان ویروس آنفوالنزا A گروه HA بر اساس توالی پروتئین با رویکرد مبتنی بر انتخاب ویژگی,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,موسسه آموزش عالی تعالی، گروه مهندسی کامپیوتر,رقیه حیدری,رضا احسن,N/A,N/A,عبدالرضا رسولی کناری,N/A,N/A
استخراج و غربالگری مجازی پپتیدهای فعال زیستی از شیر با هدف توسعه پپتیدهای ضدسرطان,پارسای داخل کشور,کارشناسی ارشد,N/A,1399,دانشگاه اصفهان، دانشکده علوم و فناوری‌های نوین,الناز چیت ساززاده,محمدرضا گنجعلی‌خانی,N/A,N/A,محمدی فارسانی فرزانه,N/A,N/A
